movie title,Year,color,duration,genre1,genre2,genre3,genre4,genre5,genre6,genre7,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,num_user_for_reviews,language,country,content_rating,gross,budget,Gross_to_Budget_Ratio,IMDB Score,aspect_ratio, Facebook Likes 
Avatar,2009,Color,178,Action,Adventure,Fantasy,Sci0Fi,,,,0,1000,936,855,886204,4834,0,avatar,future,marine,native,paraplegic,3054,English,USA,PG013,"$760,505,847 ","$237,000,000 ",3.21,7.9,1.78," 33,000 "
Pirates of the Caribbean: At World's End,2007,Color,169,Action,Adventure,Fantasy,,,,,563,40000,5000,1000,471220,48350,0,goddess,marriage ceremony,marriage proposal,pirate,singapore,1238,English,USA,PG013,"$309,404,152 ","$300,000,000 ",1.03,7.1,2.35, -   
Spectre,2015,Color,148,Action,Adventure,Thriller,,,,,0,11000,393,161,275868,11700,1,bomb,espionage,sequel,spy,terrorist,994,English,UK,PG013,"$200,074,175 ","$245,000,000 ",0.82,6.8,2.35," 85,000 "
The Dark Knight Rises,2012,Color,164,Action,Thriller,,,,,,22000,27000,23000,23000,1144337,106759,0,deception,imprisonment,lawlessness,police officer,terrorist plot,2701,English,USA,PG013,"$448,130,642 ","$250,000,000 ",1.79,8.5,2.35," 164,000 "
John Carter,2012,Color,132,Action,Adventure,Sci0Fi,,,,,475,640,632,530,212204,1873,1,alien,american civil war,male nipple,mars,princess,738,English,USA,PG013,"$73,058,679 ","$263,700,000 ",0.28,6.6,2.35, -   
Spider0Man 3,2007,Color,156,Action,Adventure,Romance,,,,,0,24000,11000,4000,383056,46055,0,sandman,spider man,symbiote,venom,villain,1902,English,USA,PG013,"$336,530,303 ","$258,000,000 ",1.3,6.2,2.35," 24,000 "
Tangled,2010,Color,100,Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance,15,799,553,284,294810,2036,1,17th century,based on fairy tale,disney,flower,tower,387,English,USA,PG,"$200,807,262 ","$260,000,000 ",0.77,7.8,1.85, -   
Avengers: Age of Ultron,2015,Color,141,Action,Adventure,Sci0Fi,,,,,0,26000,21000,19000,462669,92000,4,artificial intelligence,based on comic book,captain america,marvel cinematic universe,superhero,1117,English,USA,PG013,"$458,991,599 ","$250,000,000 ",1.84,7.5,2.35," 29,000 "
Harry Potter and the Half0Blood Prince,2009,Color,153,Adventure,Family,Fantasy,Mystery,,,,282,25000,11000,10000,321795,58753,3,blood,book,love,potion,professor,973,English,UK,PG,"$301,956,980 ","$250,000,000 ",1.21,7.5,2.35," 118,000 "
Batman v Superman: Dawn of Justice,2016,Color,183,Action,Adventure,Sci0Fi,,,,,0,15000,4000,2000,371639,24450,0,based on comic book,batman,sequel to a reboot,superhero,superman,3018,English,USA,PG013,"$330,249,062 ","$250,000,000 ",1.32,6.9,2.35," 10,000 "
Superman Returns,2006,Color,169,Action,Adventure,Sci0Fi,,,,,0,18000,10000,903,240396,29991,0,crystal,epic,lex luthor,lois lane,return to earth,2367,English,USA,PG013,"$200,069,408 ","$209,000,000 ",0.96,6.1,2.35," 197,000 "
Quantum of Solace,2008,Color,106,Action,Adventure,,,,,,395,451,412,393,330784,2023,1,action hero,attempted rape,bond girl,official james bond series,revenge,1243,English,UK,PG013,"$168,368,427 ","$200,000,000 ",0.84,6.7,2.35, -   
Pirates of the Caribbean: Dead Man's Chest,2006,Color,151,Action,Adventure,Fantasy,,,,,563,40000,5000,1000,522040,48486,2,box office hit,giant squid,heart,liar's dice,monster,1832,English,USA,PG013,"$423,032,628 ","$225,000,000 ",1.88,7.3,2.35, -   
The Lone Ranger,2013,Color,150,Action,Adventure,Western,,,,,563,40000,2000,1000,181792,45757,1,horse,outlaw,texas,texas ranger,train,711,English,USA,PG013,"$89,289,910 ","$215,000,000 ",0.42,6.5,2.35," 5,000 "
Man of Steel,2013,Color,143,Action,Adventure,Fantasy,Sci0Fi,,,,0,15000,3000,748,548573,20495,0,based on comic book,british actor playing american character,final battle,origin of hero,reboot,2536,English,USA,PG013,"$291,021,565 ","$225,000,000 ",1.29,7.2,2.35," 48,000 "
The Chronicles of Narnia: Prince Caspian,2008,Color,150,Action,Adventure,Family,Fantasy,,,,80,22000,216,201,149922,22697,4,brother brother relationship,brother sister relationship,good versus evil,king,narnia,438,English,USA,PG,"$141,614,023 ","$225,000,000 ",0.63,6.6,2.35," 118,000 "
The Avengers,2012,Color,173,Action,Adventure,Sci0Fi,,,,,0,26000,21000,19000,995415,87697,3,alien invasion,assassin,battle,iron man,soldier,1722,English,USA,PG013,"$623,279,547 ","$220,000,000 ",2.83,8.1,1.85, -   
Pirates of the Caribbean: On Stranger Tides,2011,Color,136,Action,Adventure,Fantasy,,,,,252,40000,11000,1000,370704,54083,4,blackbeard,captain,pirate,revenge,soldier,484,English,USA,PG013,"$241,063,875 ","$250,000,000 ",0.96,6.7,2.35," 123,000 "
Men in Black 3,2012,Color,106,Action,Adventure,Comedy,Family,Fantasy,Sci0Fi,,188,10000,816,718,268154,12572,1,alien,criminal,m.i.b.,maximum security prison,prison,341,English,USA,PG013,"$179,020,854 ","$225,000,000 ",0.8,6.8,1.85," 58,000 "
The Hobbit: The Battle of the Five Armies,2014,Color,164,Adventure,Fantasy,,,,,,0,5000,972,773,354228,9152,0,army,elf,hobbit,middle earth,orc,802,English,New Zealand,PG013,"$255,108,370 ","$250,000,000 ",1.02,7.5,2.35," 40,000 "
The Amazing Spider0Man,2012,Color,153,Action,Adventure,Fantasy,,,,,464,15000,10000,963,451803,28489,0,lizard,outcast,spider,spider man,teenager,1225,English,USA,PG013,"$262,030,663 ","$230,000,000 ",1.14,7,2.35," 65,000 "
Robin Hood,2010,Color,156,Action,Adventure,Drama,History,,,,0,891,882,738,211765,3244,0,1190s,archer,england,king of england,robin hood,546,English,USA,PG013,"$105,219,735 ","$200,000,000 ",0.53,6.7,2.35," 56,000 "
The Hobbit: The Desolation of Smaug,2013,Color,186,Adventure,Fantasy,,,,,,0,5000,972,773,483540,9152,6,dwarf,elf,lake town,mountain,sword and sorcery,951,English,USA,PG013,"$258,355,354 ","$225,000,000 ",1.15,7.9,2.35," 17,000 "
The Golden Compass,2007,Color,113,Adventure,Family,Fantasy,,,,,129,16000,6000,1000,149019,24106,2,children,epic,friend,girl,quest,666,English,USA,PG013,"$70,083,519 ","$180,000,000 ",0.39,6.1,2.35," 83,000 "
King Kong,2005,Color,201,Action,Adventure,Drama,Romance,,,,0,6000,919,84,316018,7123,0,animal name in title,ape abducts a woman,gorilla,island,king kong,2618,English,New Zealand,PG013,"$218,051,260 ","$207,000,000 ",1.05,7.2,2.35, -   
Titanic,1997,Color,194,Drama,Romance,,,,,,0,29000,14000,794,793059,45223,0,artist,love,ship,titanic,wet,2528,English,USA,PG013,"$658,672,302 ","$200,000,000 ",3.29,7.7,2.35, -   
Captain America: Civil War,2016,Color,147,Action,Adventure,Sci0Fi,,,,,94,21000,19000,11000,272670,64798,0,based on comic book,knife,marvel cinematic universe,returning character killed off,superhero,1022,English,USA,PG013,"$407,197,282 ","$250,000,000 ",1.63,8.2,2.35," 26,000 "
Battleship,2012,Color,131,Action,Adventure,Sci0Fi,Thriller,,,,532,14000,10000,627,202382,26679,0,box office flop,hawaii,naval,oahu hawaii,ship,751,English,USA,PG013,"$65,173,160 ","$209,000,000 ",0.31,5.9,2.35," 72,000 "
Jurassic World,2015,Color,124,Action,Adventure,Sci0Fi,Thriller,,,,365,3000,2000,1000,418214,8458,0,dinosaur,disaster film,experiment gone wrong,jurassic park,velociraptor,1290,English,USA,PG013,"$652,177,271 ","$150,000,000 ",4.35,7,2," 44,000 "
Skyfall,2012,Color,143,Action,Adventure,Thriller,,,,,0,883,563,393,522030,2039,0,brawl,childhood home,computer cracker,intelligence agency,terrorist cell,1498,English,UK,PG013,"$304,360,277 ","$200,000,000 ",1.52,7.8,2.35," 150,000 "
Spider0Man 2,2004,Color,135,Action,Adventure,Fantasy,Romance,,,,0,24000,11000,4000,411164,43388,1,death,doctor,scientist,super villain,tentacle,1303,English,USA,PG013,"$373,377,893 ","$200,000,000 ",1.87,7.3,2.35," 80,000 "
Iron Man 3,2013,Color,195,Action,Adventure,Sci0Fi,,,,,1000,21000,4000,3000,557489,30426,3,armor,explosion,human bomb,missile attack,terrorist,1187,English,USA,PG013,"$408,992,272 ","$200,000,000 ",2.04,7.2,2.35, -   
Alice in Wonderland,2010,Color,108,Adventure,Family,Fantasy,,,,,13000,40000,25000,11000,306320,79957,0,alice in wonderland,mistaking reality for dream,queen,shrinking,shrinking potion,736,English,USA,PG,"$334,185,206 ","$200,000,000 ",1.67,6.5,1.85," 95,000 "
X0Men: The Last Stand,2006,Color,104,Action,Adventure,Fantasy,Sci0Fi,Thriller,,,420,20000,808,560,383427,21714,0,battle,mutant,outrage,walking through a wall,x men,1912,English,Canada,PG013,"$234,360,014 ","$210,000,000 ",1.12,6.8,2.35," 24,000 "
Monsters University,2013,Color,104,Adventure,Animation,Comedy,Family,Fantasy,,,37,12000,779,760,235025,14863,0,cheating,fraternity,monster,singing in a car,university,265,English,USA,G,"$268,488,329 ","$200,000,000 ",1.34,7.3,1.85, -   
Transformers: Revenge of the Fallen,2009,Color,150,Action,Adventure,Sci0Fi,,,,,0,894,581,464,323207,3218,0,autobot,decepticon,machine,sun,symbol,1439,English,USA,PG013,"$402,076,689 ","$200,000,000 ",2.01,6,2.35," 44,000 "
Transformers: Age of Extinction,2014,Color,165,Action,Adventure,Sci0Fi,,,,,0,974,956,808,242420,3988,2,blockbuster,bumblebee the character,semi truck and trailer,texas,truck,918,English,USA,PG013,"$245,428,137 ","$210,000,000 ",1.17,5.7,2.35, -   
Oz the Great and Powerful,2013,Color,130,Adventure,Family,Fantasy,,,,,0,44000,15000,11000,175409,73441,4,circus,magic,magician,oz,witch,511,English,USA,PG,"$234,903,076 ","$215,000,000 ",1.09,6.4,2.35," 56,000 "
The Amazing Spider0Man 2,2014,Color,142,Action,Adventure,Fantasy,Sci0Fi,,,,464,15000,10000,825,321227,28631,0,costumed hero,death of girlfriend,masked vigilante,returning character killed off,teenager,1067,English,USA,PG013,"$202,853,933 ","$200,000,000 ",1.01,6.7,2.35," 60,000 "
TRON: Legacy,2010,Color,125,Action,Adventure,Sci0Fi,,,,,364,12000,10000,1000,264183,25550,0,arcade,bridge,disappearance,escape,warrior,665,English,USA,PG,"$172,051,787 ","$170,000,000 ",1.01,6.8,2.35," 41,000 "
Cars 2,2011,Color,106,Adventure,Animation,Comedy,Family,Sport,,,487,1000,919,776,101178,4482,0,best friend,car race,conspiracy,gadget car,spy,283,English,USA,G,"$191,450,875 ","$200,000,000 ",0.96,6.3,2.35," 30,000 "
Green Lantern,2011,Color,123,Action,Adventure,Sci0Fi,,,,,258,16000,368,326,223393,17657,2,autopsy,lantern,planet,ring,test pilot,550,English,USA,PG013,"$116,593,191 ","$200,000,000 ",0.58,5.6,2.35," 10,000 "
Toy Story 3,2010,Color,103,Adventure,Animation,Comedy,Family,Fantasy,,,125,15000,1000,721,544884,19085,3,college,day care,escape,teddy bear,toy,733,English,USA,G,"$414,984,497 ","$200,000,000 ",2.07,8.3,1.85," 24,000 "
Terminator Salvation,2009,Color,118,Action,Adventure,Sci0Fi,,,,,368,23000,3000,988,286095,27468,0,death row,future,machine,rescue,skynet,974,English,USA,PG013,"$125,320,003 ","$200,000,000 ",0.63,6.6,2.35," 30,000 "
Furious 7,2015,Color,140,Action,Crime,Thriller,,,,,0,26000,23000,14000,278232,79150,0,car falling off a cliff,hospital,revenge,star died before release,terrorist,657,English,USA,PG013,"$350,034,110 ","$190,000,000 ",1.84,7.2,2.35, -   
