movie title,Year,Duration,Director Likes,num_voted_users,Cast Facebook Likes,Poster Faces,User Review Volume, Gross , Budget , GB Ratio ,IMDB Score,Aspect Ratio,Facebook Likes
Avatar,2009,178,0,886204,4834,0,3054," $760,505,847 "," $237,000,000 ", 3.21 ,7.9,1.78,33000
Pirates of the Caribbean: At World's End,2007,169,563,471220,48350,0,1238," $309,404,152 "," $300,000,000 ", 1.03 ,7.1,2.35,
Spectre,2015,148,0,275868,11700,1,994," $200,074,175 "," $245,000,000 ", 0.82 ,6.8,2.35,85000
The Dark Knight Rises,2012,164,22000,1144337,106759,0,2701," $448,130,642 "," $250,000,000 ", 1.79 ,8.5,2.35,
John Carter,2012,132,475,212204,1873,1,738," $73,058,679 "," $263,700,000 ", 0.28 ,6.6,2.35,24000
Spider-Man 3,2007,156,0,383056,46055,0,1902," $336,530,303 "," $258,000,000 ", 1.30 ,6.2,2.35,
Tangled,2010,100,15,294810,2036,1,387," $200,807,262 "," $260,000,000 ", 0.77 ,7.8,1.85,29000
Avengers: Age of Ultron,2015,141,0,462669,92000,4,1117," $458,991,599 "," $250,000,000 ", 1.84 ,7.5,2.35,
Harry Potter and the Half-Blood Prince,2009,153,282,321795,58753,3,973," $301,956,980 "," $250,000,000 ", 1.21 ,7.5,2.35,1000
Batman v Superman: Dawn of Justice,2016,183,0,371639,24450,0,3018," $330,249,062 "," $250,000,000 ", 1.32 ,6.9,2.35,
Superman Returns,2006,169,0,240396,29991,0,2367," $200,069,408 "," $209,000,000 ", 0.96 ,6.1,2.35,0
Quantum of Solace,2008,106,395,330784,2023,1,1243," $168,368,427 "," $200,000,000 ", 0.84 ,6.7,2.35,
Pirates of the Caribbean: Dead Man's Chest,2006,151,563,522040,48486,2,1832," $423,032,628 "," $225,000,000 ", 1.88 ,7.3,2.35,5000
The Lone Ranger,2013,150,563,181792,45757,1,711," $89,289,910 "," $215,000,000 ", 0.42 ,6.5,2.35,
Man of Steel,2013,143,0,548573,20495,0,2536," $291,021,565 "," $225,000,000 ", 1.29 ,7.2,2.35,118000
The Chronicles of Narnia: Prince Caspian,2008,150,80,149922,22697,4,438," $141,614,023 "," $225,000,000 ", 0.63 ,6.6,2.35,
The Avengers,2012,173,0,995415,87697,3,1722," $623,279,547 "," $220,000,000 ", 2.83 ,8.1,1.85,123000
Pirates of the Caribbean: On Stranger Tides,2011,136,252,370704,54083,4,484," $241,063,875 "," $250,000,000 ", 0.96 ,6.7,2.35,
Men in Black 3,2012,106,188,268154,12572,1,341," $179,020,854 "," $225,000,000 ", 0.80 ,6.8,1.85,4000
The Hobbit: The Battle of the Five Armies,2014,164,0,354228,9152,0,802," $255,108,370 "," $250,000,000 ", 1.02 ,7.5,2.35,
The Amazing Spider-Man,2012,153,464,451803,28489,0,1225," $262,030,663 "," $230,000,000 ", 1.14 ,7,2.35,56000
Robin Hood,2010,156,0,211765,3244,0,546," $105,219,735 "," $200,000,000 ", 0.53 ,6.7,2.35,
The Hobbit: The Desolation of Smaug,2013,186,0,483540,9152,6,951," $258,355,354 "," $225,000,000 ", 1.15 ,7.9,2.35,83000
The Golden Compass,2007,113,129,149019,24106,2,666," $70,083,519 "," $180,000,000 ", 0.39 ,6.1,2.35,
