Year,Duration,Director Likes,num_voted_users,Cast Facebook Likes,Poster Faces,User Review Volume, Gross , Budget , GB Ratio ,IMDB Score,Aspect Ratio,Facebook Likes
2009,178,0,886204,4834,0,3054,760505847,237000000,3.21,7.9,1.78,33000
2007,169,563,471220,48350,0,1238,309404152,300000000,1.03,7.1,2.35,
2015,148,0,275868,11700,1,994,200074175,245000000,0.82,6.8,2.35,85000
2012,164,22000,1144337,106759,0,2701,448130642,250000000,1.79,8.5,2.35,
2012,132,475,212204,1873,1,738,73058679,263700000,0.28,6.6,2.35,24000
2007,156,0,383056,46055,0,1902,336530303,258000000,1.30,6.2,2.35,
2010,100,15,294810,2036,1,387,200807262,260000000,0.77,7.8,1.85,29000
2015,141,0,462669,92000,4,1117,458991599,250000000,1.84,7.5,2.35,
2009,153,282,321795,58753,3,973,301956980,250000000,1.21,7.5,2.35,1000
2016,183,0,371639,24450,0,3018,330249062,250000000,1.32,6.9,2.35,
2006,169,0,240396,29991,0,2367,200069408,209000000,0.96,6.1,2.35,0
2008,106,395,330784,2023,1,1243,168368427,200000000,0.84,6.7,2.35,
2006,151,563,522040,48486,2,1832,423032628,225000000,1.88,7.3,2.35,5000
2013,150,563,181792,45757,1,711,89289910,215000000,0.42,6.5,2.35,
2013,143,0,548573,20495,0,2536,291021565,225000000,1.29,7.2,2.35,118000
2008,150,80,149922,22697,4,438,141614023,225000000,0.63,6.6,2.35,
2012,173,0,995415,87697,3,1722,623279547,220000000,2.83,8.1,1.85,123000
2011,136,252,370704,54083,4,484,241063875,250000000,0.96,6.7,2.35,
2012,106,188,268154,12572,1,341,179020854,225000000,0.80,6.8,1.85,4000
2014,164,0,354228,9152,0,802,255108370,250000000,1.02,7.5,2.35,
2012,153,464,451803,28489,0,1225,262030663,230000000,1.14,7,2.35,56000
2010,156,0,211765,3244,0,546,105219735,200000000,0.53,6.7,2.35,
2013,186,0,483540,9152,6,951,258355354,225000000,1.15,7.9,2.35,83000
2007,113,129,149019,24106,2,666,70083519,180000000,0.39,6.1,2.35,
2005,201,0,316018,7123,0,2618,218051260,207000000,1.05,7.2,2.35,0
1997,194,0,793059,45223,0,2528,658672302,200000000,3.29,7.7,2.35,
2016,147,94,272670,64798,0,1022,407197282,250000000,1.63,8.2,2.35,72000
2012,131,532,202382,26679,0,751,65173160,209000000,0.31,5.9,2.35,
2015,124,365,418214,8458,0,1290,652177271,150000000,4.35,7,2,15000
2012,143,0,522030,2039,0,1498,304360277,200000000,1.52,7.8,2.35,
2004,135,0,411164,43388,1,1303,373377893,200000000,1.87,7.3,2.35,0
2013,195,1000,557489,30426,3,1187,408992272,200000000,2.04,7.2,2.35,
2010,108,13000,306320,79957,0,736,334185206,200000000,1.67,6.5,1.85,24000
2006,104,420,383427,21714,0,1912,234360014,210000000,1.12,6.8,2.35,
2013,104,37,235025,14863,0,265,268488329,200000000,1.34,7.3,1.85,44000
2009,150,0,323207,3218,0,1439,402076689,200000000,2.01,6,2.35,
2014,165,0,242420,3988,2,918,245428137,210000000,1.17,5.7,2.35,56000
2013,130,0,175409,73441,4,511,234903076,215000000,1.09,6.4,2.35,
2014,142,464,321227,28631,0,1067,202853933,200000000,1.01,6.7,2.35,41000
2010,125,364,264183,25550,0,665,172051787,170000000,1.01,6.8,2.35,
2011,106,487,101178,4482,0,283,191450875,200000000,0.96,6.3,2.35,1000
2011,123,258,223393,17657,2,550,116593191,200000000,0.58,5.6,2.35,
2010,103,125,544884,19085,3,733,414984497,200000000,2.07,8.3,1.85,3000
2009,118,368,286095,27468,0,974,125320003,200000000,0.63,6.6,2.35,
2015,140,0,278232,79150,0,657,350034110,190000000,1.84,7.2,2.35,94000
2013,123,395,465019,32392,0,995,202351611,190000000,1.07,7,2.35,
2014,149,0,514125,91434,7,752,233914986,200000000,1.17,8,2.35,82000
2013,132,14000,395573,21411,0,1171,228756232,190000000,1.20,7.8,2.35,
2013,114,0,106416,1766,1,205,65171860,195000000,0.33,6.3,2.35,22000
2013,143,1000,362912,29770,4,753,144812796,105000000,1.38,7.3,2.35,
2010,116,179,222403,16149,2,453,90755643,200000000,0.45,6.6,2.35,23000
2013,131,0,381148,19166,0,1106,101785482,190000000,0.54,7,1.85,
2011,154,0,326180,2593,2,899,352358779,195000000,1.81,6.3,2.35,46000
2008,122,14000,333847,14959,2,2054,317011114,185000000,1.71,6.2,2.35,
2012,93,56,273556,5005,0,428,237282182,185000000,1.28,7.2,2.35,39000
2016,122,681,53607,1327,4,432,130468626,185000000,0.71,7.5,2.35,
2008,98,475,718837,2975,0,1043,223806889,180000000,1.24,8.4,2.35,16000
2007,91,420,121084,1125,2,221,140080850,140000000,1.00,6.2,2.35,
2009,158,776,283418,2144,0,1055,166112167,200000000,0.83,5.8,2.35,13000
2009,96,0,72809,48878,0,249,137850096,200000000,0.69,6.8,2.35,
2015,127,0,139593,47334,1,720,47375327,176000000,0.27,5.4,2.35,44000
2016,110,282,42372,21175,2,239,124051759,180000000,0.69,6.6,2.35,
2005,150,80,286506,1317,5,1463,291709845,180000000,1.62,6.9,2.35,0
2016,144,0,148379,49684,6,622,154985087,178000000,0.87,7.3,2.35,
2008,152,22000,1676169,57802,0,4667,533316061,185000000,2.88,9,2.35,37000
2009,96,0,665575,2635,1,704,292979556,175000000,1.67,8.3,1.85,
2009,94,11,114553,2579,2,187,198332128,175000000,1.13,6.5,2.35,0
2008,126,4000,696338,39252,3,1055,318298180,140000000,2.27,7.9,2.35,
2011,126,17000,245333,36017,0,678,73820094,170000000,0.43,7.5,1.85,42000
1999,106,188,129601,15870,2,648,113745408,170000000,0.67,4.8,1.85,
2008,112,357,117927,9131,2,501,102176165,145000000,0.70,5.2,2.35,0
2016,123,452,118992,11287,8,971,161087183,175000000,0.92,6.9,2.35,
2007,96,293,115099,108016,0,257,100289690,175000000,0.57,5.4,2.35,2000
2014,113,218,431620,12652,1,741,100189501,178000000,0.56,7.9,2.35,
1995,176,58,144337,1004,0,309,88246220,175000000,0.50,6.1,1.85,0
2009,118,208,174578,26683,4,534,150167630,175000000,0.86,5.8,2.35,
2015,95,0,345198,2944,1,773,356454367,175000000,2.04,8.3,1.85,118000
2016,106,4000,106072,32921,0,398,362645141,175000000,2.07,7.8,1.85,
2010,124,4000,522371,48638,4,723,312057433,200000000,1.56,7,2.35,18000
2012,132,274,228554,72881,0,710,155111815,170000000,0.91,6.1,2.35,
2014,97,171,252257,15516,2,634,241407328,180000000,1.34,7,2.35,89000
2014,130,198,317542,14363,0,620,208543795,170000000,1.23,7.6,1.85,
2013,128,47,116994,20965,2,324,38297305,175000000,0.22,6.3,2.35,35000
2014,136,94,496749,36188,1,742,259746958,170000000,1.53,7.8,2.35,
2010,93,31,138661,4628,2,173,238371987,165000000,1.44,6.4,2.35,0
2015,130,663,128306,5046,2,497,93417865,190000000,0.49,6.5,2.2,
2014,102,38,279093,2963,0,433,222487711,165000000,1.35,7.9,2.39,41000
2012,101,66,272534,4451,1,345,189412677,165000000,1.15,7.8,2.35,
2004,100,0,120798,16264,0,444,665426,165000000,0.00,6.6,2.35,1000
2016,120,776,58137,3233,0,520,102315545,165000000,0.62,5.5,2.35,
2010,98,255,485430,20453,0,492,217387997,165000000,1.32,8.2,2.35,33000
2003,109,84,305340,1769,0,1676,150350192,200000000,0.75,6.4,2.35,
2014,121,571,682155,32438,3,1097,333130696,170000000,1.96,8.1,2.35,96000
2014,169,22000,928227,31488,1,2725,187991439,165000000,1.14,8.6,2.35,
2010,148,22000,1468200,81115,0,2803,292568851,160000000,1.83,8.8,2.35,175000
2001,106,357,272223,45327,2,988,144512310,38000000,3.80,6.7,2.35,
2008,166,21000,459346,13333,2,822,127490802,150000000,0.85,7.8,2.35,23000
2011,132,905,518537,50983,3,698,146405371,160000000,0.92,7.8,2.35,
2015,137,508,166137,81385,1,383,281666058,160000000,1.76,6.6,2.35,38000
2010,109,226,124185,13388,0,238,63143812,150000000,0.42,6.1,2.35,
2006,98,249,82380,92456,0,629,60655503,160000000,0.38,5.6,2.35,0
2016,113,33,21352,80806,1,131,76846624,170000000,0.45,6.4,1.85,
2007,93,50,211971,4705,2,326,320706665,160000000,2.00,6.1,1.85,0
2016,123,0,111609,5505,0,781,46978995,160000000,0.29,7.3,2.35,
2015,126,230,188457,38873,2,867,89732035,155000000,0.58,6.6,2.35,82000
2010,113,150,106446,764,4,227,104383624,155000000,0.67,6.3,1.78,
2001,184,0,254111,5401,0,1999,198539855,140000000,1.42,6.1,2.35,0
2007,144,0,513158,2333,0,1782,318759914,150000000,2.13,7.1,2.35,
2004,206,0,138863,24598,3,1390,34293771,155000000,0.22,5.5,2.35,0
2007,138,282,355137,33433,3,1108,292000866,150000000,1.95,7.5,2.35,
2005,157,179,385670,53413,1,1896,289994397,150000000,1.93,7.6,2.35,0
2008,102,532,343648,21584,0,590,227946274,150000000,1.52,6.4,2.35,
2007,104,508,530870,13076,0,1413,256386216,150000000,1.71,7.2,2.35,11000
2005,115,13000,320284,57844,3,1361,206456431,150000000,1.38,6.7,1.85,
2007,111,663,473887,4764,0,626,206435493,150000000,1.38,8,2.35,1000
2005,128,22000,980946,59558,0,2685,205343774,150000000,1.37,8.3,2.35,
2008,89,35,146019,3285,0,119,179982968,150000000,1.20,6.7,1.85,0
2009,105,189,130272,54039,2,209,177243721,150000000,1.18,5.9,2.35,
2009,119,151,361924,40054,0,641,179883016,150000000,1.20,6.7,2.35,0
2003,129,0,364948,1062,0,2121,139259759,150000000,0.93,6.7,2.35,
2013,102,69,421658,2582,0,904,400736600,150000000,2.67,7.6,2.24,58000
2003,138,0,421818,534,0,2789,281492479,150000000,1.88,7.2,2.35,
2013,112,230,414070,59803,3,532,206360018,170000000,1.21,7.1,2.35,63000
2015,120,750,552503,40025,0,1588,153629485,150000000,1.02,8.1,2.35,
2009,146,2000,207839,16948,2,435,133375846,150000000,0.89,6.7,2.35,0
2011,115,0,536314,60059,1,738,181015141,150000000,1.21,7,2.35,
2008,96,59,146766,20007,0,178,114053579,150000000,0.76,6.9,1.85,0
2009,88,12,33042,2217,0,90,119420252,150000000,0.80,5.1,2.35,
2012,99,473,152826,16184,0,253,83640426,150000000,0.56,5.8,1.85,19000
2012,113,13000,199039,80849,7,479,79711678,100000000,0.80,6.2,1.85,
2015,131,188,232187,21840,0,440,195000874,150000000,1.30,7.4,2.35,47000
2010,119,394,89442,13071,0,432,61937495,150000000,0.41,5.8,1.85,
2016,110,282,42372,21175,2,239,124051759,180000000,0.69,6.6,2.35,29000
2007,91,58,105902,6576,0,206,126597121,150000000,0.84,6.2,1.85,
2011,90,90,182718,21015,0,209,165230261,150000000,1.10,7.3,2.35,2000
2010,103,0,118951,2857,0,1382,131564731,150000000,0.88,4.2,2.35,
2006,124,14000,256695,34817,0,871,133382309,150000000,0.89,6.9,2.35,0
2013,131,776,164238,18204,2,434,73103784,150000000,0.49,6.4,2.35,
2011,88,25,17590,2652,0,112,21379315,150000000,0.14,5.4,2.35,0
2006,85,42,85086,35161,0,122,64459316,149000000,0.43,6.7,1.85,
2015,111,456,39956,21393,4,186,34964818,150000000,0.23,5.8,2.35,24000
2014,92,50,47900,5810,2,130,111505642,145000000,0.77,6.9,1.85,
2004,196,249,381672,17944,2,1694,133228348,175000000,0.76,7.2,2.35,0
2012,93,35,119213,2444,0,154,216366733,145000000,1.49,6.9,1.85,
2002,133,93,169914,2538,0,1185,160201106,142000000,1.13,6.1,2.35,0
2016,116,176,69757,2097,4,1211,118099659,144000000,0.82,5.5,2.35,
1998,153,0,322395,26029,0,1171,201573391,140000000,1.44,6.6,2.35,11000
2002,88,188,270207,14823,2,606,190418803,140000000,1.36,6.1,1.85,
2007,115,0,142440,31523,1,505,82161969,150000000,0.55,6.3,2.35,3000
2016,95,5,64322,36095,0,145,143523463,145000000,0.99,7.2,2.35,
2011,133,663,365104,21768,3,512,209364921,145000000,1.44,7.4,2.35,35000
2012,97,52,123553,20645,0,174,103400692,145000000,0.71,7.3,1.85,
2005,90,23,110788,1997,1,258,110332737,100000000,1.10,6.1,2.35,2000
2003,154,380,317166,11945,1,928,111110575,140000000,0.79,7.7,2.35,
2014,150,0,128682,26490,0,657,65007045,140000000,0.46,6.1,2.35,51000
2009,127,14000,504419,39284,0,1559,257704099,150000000,1.72,8,2.35,
2002,121,0,544665,40484,0,2012,403706375,139000000,2.90,7.3,1.85,5000
2014,102,255,221128,23378,5,343,176997107,145000000,1.22,7.9,2.35,
2016,126,295,51892,19769,4,273,31141074,140000000,0.22,5.5,2.35,24000
2005,121,357,45455,2705,0,388,31704416,135000000,0.23,5,2.35,
2009,215,0,392474,2530,1,1229,107503316,130000000,0.83,7.7,2.35,18000
1998,127,503,127497,6171,2,287,129734803,140000000,0.93,6.6,2.35,
2003,138,0,212106,1814,0,1445,132122995,137000000,0.96,5.7,1.85,0
2013,122,209,146352,31958,6,288,122512052,130000000,0.94,5.8,2.35,
2005,124,42,77673,13073,3,463,68642452,130000000,0.53,6,2.35,0
2001,106,6,72259,15015,1,788,32131830,137000000,0.23,6.4,1.85,
2011,124,394,508818,19761,0,679,176636816,140000000,1.26,6.9,2.35,46000
1999,128,150,157519,2037,2,683,126930660,135000000,0.94,6.4,2.35,
2003,138,608,168207,1205,1,684,93926386,150000000,0.63,7.4,2.35,0
2012,115,386,185394,59177,3,329,292298923,120000000,2.44,5.5,2.35,
2011,100,750,32399,62644,0,79,63992328,135000000,0.47,5.9,2.35,0
2008,135,255,326286,5811,0,643,134518390,150000000,0.90,6.8,2.35,
2016,117,14000,12572,1950,0,106,52792307,140000000,0.38,6.8,2.35,27000
2015,156,0,406020,57108,0,1188,183635922,135000000,1.36,8.1,2.35,
2013,96,13,62424,17416,0,90,83024900,135000000,0.61,6.5,2.35,13000
2011,107,563,183208,43291,0,337,123207194,135000000,0.91,7.2,2.35,
2014,92,35,60230,19963,0,118,83348920,132000000,0.63,6.7,1.85,11000
2007,115,521,491077,17369,0,820,227137090,110000000,2.06,8.1,2.35,
2008,92,54,307029,12754,0,360,215395021,130000000,1.66,7.6,2.35,6000
2015,117,235,313866,5730,6,549,180191634,130000000,1.39,7.4,1.85,
2013,146,508,498397,49355,1,706,424645577,130000000,3.27,7.6,2.35,82000
2012,115,386,185394,59177,3,329,292298923,120000000,2.44,5.5,2.35,
2015,94,12,70121,17883,0,214,177343675,135000000,1.31,6.7,1.85,26000
2005,116,14000,334345,12758,0,2741,234277056,132000000,1.77,6.5,1.85,
2003,147,0,178126,12954,1,511,138396624,130000000,1.06,6.6,2.35,0
2011,90,50,114287,5046,0,137,149234747,130000000,1.15,6.7,2.35,
2010,101,176,245621,12406,1,514,118311368,110000000,1.08,6.4,2.35,23000
2014,138,0,200022,32355,2,1240,101160529,125000000,0.81,5.8,1.85,
2011,107,14000,177383,4631,1,447,77564037,135000000,0.57,7.4,2.35,44000
2004,142,0,382255,33284,3,1504,249358727,130000000,1.92,7.8,2.35,
2008,165,1000,102338,921,0,450,49551662,130000000,0.38,6.6,2.35,0
2013,100,0,158720,14168,0,744,60522097,130000000,0.47,4.9,2.35,
2000,82,0,38438,2945,1,241,137748063,127500000,1.08,6.5,1.85,0
2014,98,189,67223,53587,7,126,113733726,127000000,0.90,6.2,1.85,
2010,95,96,172754,46120,3,187,148337537,130000000,1.14,7.3,2.35,13000
2001,159,0,444683,13191,4,1571,317557891,125000000,2.54,7.5,2.35,
2013,96,124,91640,31549,2,210,33592415,130000000,0.26,5.6,2.35,2000
