movie title,color,genre1,genre2,genre3,genre4,genre5,genre6,genre7,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,language,country,content_rating,IMDB Score
Avatar,Color,Action,Adventure,Fantasy,Sci0Fi,,,,avatar,future,marine,native,paraplegic,English,USA,PG013,7.9
Pirates of the Caribbean: At World's End,Color,Action,Adventure,Fantasy,,,,,goddess,marriage ceremony,marriage proposal,pirate,singapore,English,USA,PG013,7.1
Spectre,Color,Action,Adventure,Thriller,,,,,bomb,espionage,sequel,spy,terrorist,English,UK,PG013,6.8
The Dark Knight Rises,Color,Action,Thriller,,,,,,deception,imprisonment,lawlessness,police officer,terrorist plot,English,USA,PG013,8.5
John Carter,Color,Action,Adventure,Sci0Fi,,,,,alien,american civil war,male nipple,mars,princess,English,USA,PG013,6.6
Spider0Man 3,Color,Action,Adventure,Romance,,,,,sandman,spider man,symbiote,venom,villain,English,USA,PG013,6.2
Tangled,Color,Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance,17th century,based on fairy tale,disney,flower,tower,English,USA,PG,7.8
Avengers: Age of Ultron,Color,Action,Adventure,Sci0Fi,,,,,artificial intelligence,based on comic book,captain america,marvel cinematic universe,superhero,English,USA,PG013,7.5
Harry Potter and the Half0Blood Prince,Color,Adventure,Family,Fantasy,Mystery,,,,blood,book,love,potion,professor,English,UK,PG,7.5
Batman v Superman: Dawn of Justice,Color,Action,Adventure,Sci0Fi,,,,,based on comic book,batman,sequel to a reboot,superhero,superman,English,USA,PG013,6.9
Superman Returns,Color,Action,Adventure,Sci0Fi,,,,,crystal,epic,lex luthor,lois lane,return to earth,English,USA,PG013,6.1
Quantum of Solace,Color,Action,Adventure,,,,,,action hero,attempted rape,bond girl,official james bond series,revenge,English,UK,PG013,6.7
Pirates of the Caribbean: Dead Man's Chest,Color,Action,Adventure,Fantasy,,,,,box office hit,giant squid,heart,liar's dice,monster,English,USA,PG013,7.3
The Lone Ranger,Color,Action,Adventure,Western,,,,,horse,outlaw,texas,texas ranger,train,English,USA,PG013,6.5
Man of Steel,Color,Action,Adventure,Fantasy,Sci0Fi,,,,based on comic book,british actor playing american character,final battle,origin of hero,reboot,English,USA,PG013,7.2
The Chronicles of Narnia: Prince Caspian,Color,Action,Adventure,Family,Fantasy,,,,brother brother relationship,brother sister relationship,good versus evil,king,narnia,English,USA,PG,6.6
The Avengers,Color,Action,Adventure,Sci0Fi,,,,,alien invasion,assassin,battle,iron man,soldier,English,USA,PG013,8.1
Pirates of the Caribbean: On Stranger Tides,Color,Action,Adventure,Fantasy,,,,,blackbeard,captain,pirate,revenge,soldier,English,USA,PG013,6.7
Men in Black 3,Color,Action,Adventure,Comedy,Family,Fantasy,Sci0Fi,,alien,criminal,m.i.b.,maximum security prison,prison,English,USA,PG013,6.8
The Hobbit: The Battle of the Five Armies,Color,Adventure,Fantasy,,,,,,army,elf,hobbit,middle earth,orc,English,New Zealand,PG013,7.5
The Amazing Spider0Man,Color,Action,Adventure,Fantasy,,,,,lizard,outcast,spider,spider man,teenager,English,USA,PG013,7
Robin Hood,Color,Action,Adventure,Drama,History,,,,1190s,archer,england,king of england,robin hood,English,USA,PG013,6.7
The Hobbit: The Desolation of Smaug,Color,Adventure,Fantasy,,,,,,dwarf,elf,lake town,mountain,sword and sorcery,English,USA,PG013,7.9
The Golden Compass,Color,Adventure,Family,Fantasy,,,,,children,epic,friend,girl,quest,English,USA,PG013,6.1
King Kong,Color,Action,Adventure,Drama,Romance,,,,animal name in title,ape abducts a woman,gorilla,island,king kong,English,New Zealand,PG013,7.2
Titanic,Color,Drama,Romance,,,,,,artist,love,ship,titanic,wet,English,USA,PG013,7.7
Captain America: Civil War,Color,Action,Adventure,Sci0Fi,,,,,based on comic book,knife,marvel cinematic universe,returning character killed off,superhero,English,USA,PG013,8.2
Battleship,Color,Action,Adventure,Sci0Fi,Thriller,,,,box office flop,hawaii,naval,oahu hawaii,ship,English,USA,PG013,5.9
Jurassic World,Color,Action,Adventure,Sci0Fi,Thriller,,,,dinosaur,disaster film,experiment gone wrong,jurassic park,velociraptor,English,USA,PG013,7
Skyfall,Color,Action,Adventure,Thriller,,,,,brawl,childhood home,computer cracker,intelligence agency,terrorist cell,English,UK,PG013,7.8
Spider0Man 2,Color,Action,Adventure,Fantasy,Romance,,,,death,doctor,scientist,super villain,tentacle,English,USA,PG013,7.3
Iron Man 3,Color,Action,Adventure,Sci0Fi,,,,,armor,explosion,human bomb,missile attack,terrorist,English,USA,PG013,7.2
Alice in Wonderland,Color,Adventure,Family,Fantasy,,,,,alice in wonderland,mistaking reality for dream,queen,shrinking,shrinking potion,English,USA,PG,6.5
X0Men: The Last Stand,Color,Action,Adventure,Fantasy,Sci0Fi,Thriller,,,battle,mutant,outrage,walking through a wall,x men,English,Canada,PG013,6.8
Monsters University,Color,Adventure,Animation,Comedy,Family,Fantasy,,,cheating,fraternity,monster,singing in a car,university,English,USA,G,7.3
Transformers: Revenge of the Fallen,Color,Action,Adventure,Sci0Fi,,,,,autobot,decepticon,machine,sun,symbol,English,USA,PG013,6
Transformers: Age of Extinction,Color,Action,Adventure,Sci0Fi,,,,,blockbuster,bumblebee the character,semi truck and trailer,texas,truck,English,USA,PG013,5.7
Oz the Great and Powerful,Color,Adventure,Family,Fantasy,,,,,circus,magic,magician,oz,witch,English,USA,PG,6.4
The Amazing Spider0Man 2,Color,Action,Adventure,Fantasy,Sci0Fi,,,,costumed hero,death of girlfriend,masked vigilante,returning character killed off,teenager,English,USA,PG013,6.7
TRON: Legacy,Color,Action,Adventure,Sci0Fi,,,,,arcade,bridge,disappearance,escape,warrior,English,USA,PG,6.8
Cars 2,Color,Adventure,Animation,Comedy,Family,Sport,,,best friend,car race,conspiracy,gadget car,spy,English,USA,G,6.3
Green Lantern,Color,Action,Adventure,Sci0Fi,,,,,autopsy,lantern,planet,ring,test pilot,English,USA,PG013,5.6
Toy Story 3,Color,Adventure,Animation,Comedy,Family,Fantasy,,,college,day care,escape,teddy bear,toy,English,USA,G,8.3
Terminator Salvation,Color,Action,Adventure,Sci0Fi,,,,,death row,future,machine,rescue,skynet,English,USA,PG013,6.6
Furious 7,Color,Action,Crime,Thriller,,,,,car falling off a cliff,hospital,revenge,star died before release,terrorist,English,USA,PG013,7.2
World War Z,Color,Action,Adventure,Horror,Sci0Fi,Thriller,,,chaos,disease,infection,pandemic,zombie,English,USA,PG013,7
X0Men: Days of Future Past,Color,Action,Adventure,Fantasy,Sci0Fi,Thriller,,,dystopia,super strength,supernatural power,time paradox,time travel,English,USA,PG013,8
Star Trek Into Darkness,Color,Action,Adventure,Sci0Fi,,,,,admiral,captain,manhunt,mission,space,English,USA,PG013,7.8
Jack the Giant Slayer,Color,Adventure,Fantasy,,,,,,bean,giant,king,no opening credits,princess,English,USA,PG013,6.3
The Great Gatsby,Color,Drama,Romance,,,,,,ingratitude,mansion,party,title appears in writing,tragedy,English,Australia,PG013,7.3
Prince of Persia: The Sands of Time,Color,Action,Adventure,Fantasy,Romance,,,,alamut,dagger,king,persia,princess,English,USA,PG013,6.6
Pacific Rim,Color,Action,Adventure,Sci0Fi,,,,,giant monster,kaiju,pilot,portal,robot,English,USA,PG013,7
Transformers: Dark of the Moon,Color,Action,Adventure,Sci0Fi,,,,,autobot,decepticon,job interview,moon,spacecraft,English,USA,PG013,6.3
Indiana Jones and the Kingdom of the Crystal Skull,Color,Action,Adventure,Fantasy,,,,,cult figure,femme fatale,indiana jones,unsubtitled foreign language,year 1957,English,USA,PG013,6.2
Brave,Color,Adventure,Animation,Comedy,Family,Fantasy,,,archery,coming of age,female warrior,princess,rebellious daughter,English,USA,PG,7.2
Star Trek Beyond,Color,Action,Adventure,Sci0Fi,Thriller,,,,hatred,sequel,space opera,star trek,third part,English,USA,PG013,7.5
WALL·E,Color,Adventure,Animation,Family,Sci0Fi,,,,earth,obesity,plant,robot,soil,English,USA,G,8.4
Rush Hour 3,Color,Action,Comedy,Crime,Thriller,,,,ambassador,assassination,chinese,french,triad,English,USA,PG013,6.2
2012,Color,Action,Adventure,Sci0Fi,,,,,ark,catastrophe,geologist,president,writer,English,USA,PG013,5.8
A Christmas Carol,Color,Animation,Drama,Family,Fantasy,,,,charles dickens,christmas,christmas eve,ghost,scrooge,English,USA,PG,6.8
Jupiter Ascending,Color,Action,Adventure,Sci0Fi,,,,,box office flop,critically bashed,planet earth,space opera,woman in bra and panties,English,USA,PG013,5.4
The Legend of Tarzan,Color,Action,Adventure,Drama,Romance,,,,africa,capture,jungle,male objectification,tarzan,English,USA,PG013,6.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Color,Adventure,Family,Fantasy,,,,,hide and seek,lion,magic,professor,snow,English,USA,PG,6.9
X0Men: Apocalypse,Color,Action,Adventure,Sci0Fi,,,,,mutant,superhero,superhero team,x men,year 1983,English,USA,PG013,7.3
The Dark Knight,Color,Action,Crime,Drama,Thriller,,,,based on comic book,dc comics,psychopath,star died before release,urban setting,English,USA,PG013,9
Up,Color,Adventure,Animation,Comedy,Family,,,,balloon,house,promise,retirement,skeleton,English,USA,PG,8.3
Monsters vs. Aliens,Color,Action,Adventure,Animation,Comedy,Family,Sci0Fi,,alien,alien invasion,alien space craft,giant,giantess,English,USA,PG,6.5
Iron Man,Color,Action,Adventure,Sci0Fi,,,,,afghanistan,billionaire,inventor,playboy,u.s. air force,English,USA,PG013,7.9
Hugo,Color,Adventure,Drama,Family,Mystery,,,,automaton,mechanical,railway station,steampunk,train,English,USA,PG,7.5
Wild Wild West,Color,Action,Comedy,Sci0Fi,Western,,,,buddy movie,general,inventor,steampunk,utah,English,USA,PG013,4.8
The Mummy: Tomb of the Dragon Emperor,Color,Action,Adventure,Fantasy,Horror,Thriller,,,army,china,emperor,mummy,shangri la,English,USA,PG013,5.2
Suicide Squad,Color,Action,Adventure,Comedy,Sci0Fi,,,,based on comic book,critically bashed,father daughter relationship,reference to superman,super villain,English,USA,PG013,6.9
